0,p1q1,-0.307268,0.112262,0.054063,0.089145,0.08987,0.131422
1,p1q2,-0.900125,0.146167,0.039868,0.116523,0.142237,0.081096
2,p1q3,0,0.128094,0.10029,0.07887,0.137403,0.053051
3,p1q4,-0.518739,0.144801,0.060235,0.014077,0.166476,0.122802
4,p1q5,0.923656,0.106589,0.154085,0.014898,0.079473,0.06523
5,p1q6,-0.927539,0.140308,0.065177,0.019507,0.167493,0.045107
6,p1q7,0.883582,0.179103,0.126276,0.023174,0.110603,0.045345
7,p1q8,0,0.208882,0.04741,0.020714,0.102711,0.19109
8,p1q9,-0.50511,0.146971,0.054163,0.040615,0.15721,0.090518
9,p1q10,0,0.100004,0.075153,0.015472,0.197877,0.166508
10,p1q11,-0.275896,0.134043,0.028806,0.024501,0.046441,0.190193
11,p1q12,-0.775379,0.178572,0.119889,0.045493,0.105137,0.10953
12,p1q13,-0.625397,0.185332,0.038356,0.032595,0.147566,0.101699
13,p1q14,-0.973499,0.229627,0.042598,0.020317,0.12822,0.084182
14,p1q15,-0.889608,0.298803,0.029444,0.038235,0.094079,0.191493
15,p1q16,0,0.131268,0.163929,0.019738,0.072601,0.06138
16,p1q17,-0.990385,0.262479,0.039897,0.012007,0.027937,0.067094
17,p1q18,-0.831735,0.126211,0.049438,0.043403,0.101167,0.094612
18,p2q1,0.956679,0.121805,0.030199,0.035699,0.135133,0.088532
19,p2q1c1,0.520979,0.184325,0.053259,0.027896,0.085289,0.052619
20,p2q1c2,0.873268,0.145704,0.094653,0.021549,0.091566,0.060256
21,p2q1c3,0,0.21938,0.039045,0.053689,0.103802,0.049896
22,p2q1c4,-0.989893,0.144947,0.113671,0.027634,0.101031,0.062435
23,p2q1c5,0.26878,0.189382,0.121066,0.014073,0.063608,0.059883
24,p2q1c6,-0.720655,0.270122,0.0379,0.008987,0.06445,0.114943
25,p2q1c7,-0.963971,0.215317,0.055036,0.020392,0.065863,0.078968
26,p2q1c8,0,0.130286,0.082344,0.032956,0.084531,0.172861
27,p2q1c9,-0.606841,0.139121,0.041665,0.114579,0.10407,0.064916
28,p2q1c10,-0.856877,0.23842,0.040901,0.027908,0.165344,0.050035
29,p2q1c11,-0.987811,0.200235,0.055649,0.027572,0.165492,0.138233
30,p2q1c12,-0.789007,0.29095,0.047076,0.031362,0.110318,0.068028
31,p2q1c13,-0.988867,0.286127,0.038587,0.036512,0.128955,0.087859
32,p2q1c14,0,0.163088,0.050922,0.028862,0.10359,0.090462
33,p2q1c15,0,0.177815,0.058958,0.089672,0.195855,0.120926
34,p2q1c16,0,0.205683,0.050525,0.009163,0.157344,0.131769
35,p2q2,-0.85072,0.156989,0.035798,0.034647,0.148885,0.085323
36,p2q2c1,-0.807635,0.185158,0.051096,0.081933,0.200317,0.087621
37,p2q2c2,0.498435,0.203153,0.049531,0.031795,0.041197,0.131386
38,p2q2c3,0,0.232713,0.084905,0.002002,0.054061,0.058576
39,p2q2c4,-0.784674,0.162029,0.033691,0.010165,0.06727,0.239352
40,p2q2c5,-0.466254,0.181247,0.053111,0.031354,0.126023,0.063849
41,p2q2c6,0.509918,0.085237,0.058858,0.076029,0.16565,0.079916
42,p2q2c7,-0.742098,0.106931,0.071768,0.044014,0.183386,0.106137
43,p2q2c8,-0.877639,0.267906,0.092987,0.058934,0.104298,0.088757
44,p3c0,0,0.189152,0.088102,0.027566,0.067833,0.079696
45,p3intro,0,0.177158,0.077225,0.012368,0.131959,0.179017
46,p3q1,-0.390288,0.146049,0.044542,0.04116,0.019696,0.073256
47,p3q2,0,0.267044,0.057458,0.093362,0.018391,0.131166
48,p3q3,0,0.055833,0.054435,0.12483,0.063586,0.144768
49,p3q4,0,0.135688,0.042371,0.070476,0.102286,0.122609
50,p3q5,-0.876076,0.239162,0.013131,0.036282,0.049265,0.25144
51,p3q6,-0.919651,0.102202,0.096999,0.085945,0.041704,0.206186
52,p3q7,-0.892746,0.233939,0.054074,0.04994,0.02047,0.24044
53,p3q8,0,0.217344,0.033297,0.064584,0.062187,0.225006
54,p3q9,0,0.209158,0.018019,0.164798,0.037711,0.076341
55,p3q10,0,0.179054,0.013728,0.034328,0.145457,0.26781
56,p3q11,-0.931784,0.11408,0.072478,0.0515,0.062562,0.26564
57,p3q12,-0.792371,0.120762,0.103426,0.069634,0.044602,0.122497
58,p3q13,-0.986725,0.213493,0.020969,0.035297,0.03732,0.226978
59,p3q14,0.506311,0.182472,0.121812,0.032191,0.059162,0.19562
60,p3q15,-0.812481,0.259651,0.053939,0.020756,0.14058,0.084762
61,p3q16,-0.85104,0.183747,0.092384,0.041624,0.025987,0.095144
62,p3q17,0,0.174506,0.108553,0.030024,0.072239,0.139711
63,p3q18,0,0.160588,0.031575,0.028813,0.045855,0.165223
64,p3q19,0,0.077662,0.046007,0.146318,0.166258,0.168934
65,p3q20,0,0.133324,0.030647,0.039516,0.198577,0.198052
66,p3q21,0,0.192839,0.033364,0.022014,0.153157,0.136128
67,p3q22,0,0.166352,0.032922,0.021523,0.107853,0.217475
68,p3q23,-0.533168,0.15272,0.037308,0.082395,0.065225,0.146946
69,p3q24,0,0.082447,0.047198,0.059188,0.059306,0.170791
70,p3q25,0,0.132285,0.023567,0.095168,0.10763,0.183143
71,p3q26,-0.250075,0.120241,0.034035,0.100005,0.073272,0.219838
72,p3q27,-0.846668,0.147016,0.063158,0.020015,0.038263,0.081352
73,p3q28,-0.601455,0.22276,0.047782,0.013366,0.094577,0.12609
74,p3q29,-0.992599,0.219501,0.01377,0.02378,0.133518,0.134782
75,p3q30,-0.800415,0.200657,0.08624,0.049156,0.029345,0.113028
76,p3q31,-0.748526,0.222932,0.036618,0.013957,0.076623,0.20126
77,p3q32,-0.954839,0.088169,0.054494,0.032108,0.073934,0.099295
78,p3q33,0,0.079642,0.054093,0.068828,0.100896,0.240541
79,p3q34,0,0.230475,0.021253,0.014003,0.141842,0.091616
80,p3q35,0.340818,0.201581,0.026491,0.010394,0.100923,0.140445
